bin_lower_edge,SM_events,EFT_events
160,3.74813,3.79632
174,5.86679,5.93461
188,6.31775,6.3306
202,6.24661,6.20045
216,5.94406,5.88051
230,5.45283,5.46057
244,5.03396,4.94196
258,4.54437,4.46326
272,4.15187,4.08944
286,3.69641,3.67792
300,3.36013,3.29279
314,3.07148,3.06907
328,2.78509,2.78194
342,2.51954,2.48816
356,2.28854,2.24538
370,2.10435,2.04849
384,1.86149,1.88641
398,1.73066,1.74185
412,1.57877,1.58997
426,1.41748,1.44274
440,1.30546,1.3545
454,1.20876,1.17247
468,1.11207,1.08178
482,1.01456,1.01371
496,0.92257,0.944535
510,0.877801,0.842321
524,0.800324,0.766492
538,0.764754,0.738777
552,0.675011,0.683347
566,0.639646,0.642993
580,0.575047,0.560735
594,0.534571,0.537232
608,0.493686,0.486901
622,0.47263,0.482023
636,0.429292,0.434797
650,0.403739,0.384909
664,0.36449,0.374932
678,0.348749,0.326818
692,0.312157,0.319279
706,0.300913,0.30642
720,0.274543,0.270501
734,0.256758,0.263184
748,0.250625,0.244116
762,0.229365,0.230369
776,0.208309,0.210636
790,0.190933,0.194893
804,0.179076,0.19312
818,0.165584,0.18802
832,0.15475,0.165848
846,0.155772,0.157423
860,0.145346,0.142789
874,0.129605,0.142345
888,0.130014,0.130151
902,0.116522,0.118178
916,0.100577,0.105096
930,0.100168,0.103101
944,0.0907647,0.0937883
958,0.0879027,0.0977793
972,0.0805434,0.0871367
986,0.0760461,0.0855846
