bin_center,SM_dsig,EFT_dsig
1.66667,0,0
5,0,0
8.33333,0,0
11.6667,1.55434e-05,1.5668e-05
15,2.02727e-05,2.01921e-05
18.3333,2.40253e-05,2.40896e-05
21.6667,2.66895e-05,2.68115e-05
25,2.81729e-05,2.827e-05
28.3333,2.84537e-05,2.8485e-05
31.6667,2.75978e-05,2.77229e-05
35,2.64557e-05,2.65835e-05
38.3333,2.46856e-05,2.48796e-05
41.6667,2.26912e-05,2.27458e-05
45,2.06971e-05,2.10804e-05
48.3333,1.88769e-05,1.91018e-05
51.6667,1.69188e-05,1.68909e-05
55,1.52221e-05,1.51879e-05
58.3333,1.36116e-05,1.35997e-05
61.6667,1.1958e-05,1.20906e-05
65,1.0619e-05,1.08036e-05
68.3333,9.48265e-06,9.7278e-06
71.6667,8.50585e-06,8.61871e-06
75,7.51128e-06,7.56457e-06
78.3333,6.57226e-06,6.68347e-06
81.6667,5.87944e-06,5.97203e-06
85,5.24217e-06,5.41965e-06
88.3333,4.65378e-06,4.68315e-06
91.6667,4.28492e-06,4.1997e-06
95,3.75786e-06,3.75192e-06
98.3333,3.3299e-06,3.49887e-06
101.667,2.9766e-06,3.08724e-06
105,2.6913e-06,2.76863e-06
108.333,2.39888e-06,2.4828e-06
111.667,2.16913e-06,2.25481e-06
115,1.9447e-06,2.02779e-06
118.333,1.70473e-06,1.78438e-06
121.667,1.58252e-06,1.65858e-06
125,1.43009e-06,1.47686e-06
128.333,1.26566e-06,1.35106e-06
131.667,1.19722e-06,1.26044e-06
135,1.06612e-06,1.15247e-06
138.333,9.47021e-07,1.10186e-06
141.667,8.57251e-07,9.46656e-07
145,7.95924e-07,8.88815e-07
148.333,7.42151e-07,8.56039e-07
151.667,6.63937e-07,7.78436e-07
155,6.33717e-07,7.2879e-07
158.333,5.31949e-07,6.29015e-07
161.667,5.0173e-07,5.98167e-07
165,4.48846e-07,5.52377e-07
168.333,4.47957e-07,5.20564e-07
171.667,3.9374e-07,4.80076e-07
175,3.36412e-07,4.57422e-07
178.333,3.39523e-07,4.17897e-07
181.667,3.12415e-07,4.15487e-07
185,2.7864e-07,3.95725e-07
188.333,2.5242e-07,3.61503e-07
191.667,2.26645e-07,3.44633e-07
195,2.24867e-07,3.23425e-07
198.333,2.13757e-07,3.18123e-07
