bin_lower_edge,SM_events,EFT_events
0,0,0
3.33333,0,0
6.66667,0,0
10,7.14997,7.20729
13.3333,9.32546,9.28837
16.6667,11.0516,11.0812
20,12.2771,12.3333
23.3333,12.9595,13.0042
26.6667,13.0887,13.1031
30,12.695,12.7526
33.3333,12.1696,12.2284
36.6667,11.3554,11.4446
40,10.4379,10.4631
43.3333,9.52068,9.697
46.6667,8.68336,8.78684
50,7.78266,7.7698
53.3333,7.00217,6.98646
56.6667,6.26133,6.25588
60,5.50067,5.56167
63.3333,4.88473,4.96967
66.6667,4.36202,4.47479
70,3.91269,3.96461
73.3333,3.45519,3.4797
76.6667,3.02324,3.0744
80,2.70454,2.74713
83.3333,2.4114,2.49304
86.6667,2.14074,2.15425
90,1.97107,1.93186
93.3333,1.72862,1.72588
96.6667,1.53176,1.60948
100,1.36924,1.42013
103.333,1.238,1.27357
106.667,1.10349,1.14209
110,0.997798,1.03721
113.333,0.894563,0.932784
116.667,0.784174,0.820814
120,0.727957,0.762945
123.333,0.657839,0.679356
126.667,0.582202,0.621486
130,0.550721,0.579803
133.333,0.490415,0.530137
136.667,0.43563,0.506856
140,0.394336,0.435462
143.333,0.366125,0.408855
146.667,0.34139,0.393778
150,0.305411,0.358081
153.333,0.29151,0.335243
156.667,0.244697,0.289347
160,0.230796,0.275157
163.333,0.206469,0.254093
166.667,0.20606,0.23946
170,0.18112,0.220835
173.333,0.15475,0.210414
176.667,0.156181,0.192233
180,0.143711,0.191124
183.333,0.128174,0.182034
186.667,0.116113,0.166291
190,0.104257,0.158531
193.333,0.103439,0.148775
196.667,0.0983284,0.146336
