bin_center,SM_dsig,EFT_dsig
1.66667,2.09536e-06,2.11793e-06
5,5.23772e-06,5.42447e-06
8.33333,7.86725e-06,8.10634e-06
11.6667,1.00373e-05,1.03554e-05
15,1.19015e-05,1.21754e-05
18.3333,1.34414e-05,1.38229e-05
21.6667,1.47795e-05,1.50968e-05
25,1.60722e-05,1.64788e-05
28.3333,1.73623e-05,1.75792e-05
31.6667,1.8308e-05,1.85311e-05
35,1.90955e-05,1.94744e-05
38.3333,1.97754e-05,2.02557e-05
41.6667,2.03789e-05,2.08129e-05
45,2.07709e-05,2.11576e-05
48.3333,2.09562e-05,2.12299e-05
51.6667,2.09367e-05,2.13186e-05
55,2.07629e-05,2.11503e-05
58.3333,2.0458e-05,2.08385e-05
61.6667,1.98808e-05,2.01598e-05
65,1.91666e-05,1.9379e-05
68.3333,1.82511e-05,1.82024e-05
71.6667,1.66909e-05,1.69603e-05
75,1.50283e-05,1.54217e-05
78.3333,1.26619e-05,1.30454e-05
81.6667,9.87061e-06,1.0125e-05
85,7.79703e-06,8.00994e-06
88.3333,6.22741e-06,6.49259e-06
91.6667,5.03419e-06,5.46352e-06
95,4.20893e-06,4.48023e-06
98.3333,3.60943e-06,3.80398e-06
101.667,3.05882e-06,3.26702e-06
105,2.63086e-06,2.82262e-06
108.333,2.24601e-06,2.45244e-06
111.667,1.95537e-06,2.1748e-06
115,1.64784e-06,1.90922e-06
118.333,1.45408e-06,1.68653e-06
121.667,1.34832e-06,1.54579e-06
125,1.16433e-06,1.36986e-06
128.333,9.86572e-07,1.21706e-06
131.667,9.07913e-07,1.10475e-06
135,7.89702e-07,9.53404e-07
138.333,6.91045e-07,9.30268e-07
141.667,6.05276e-07,8.23745e-07
145,5.20395e-07,7.53854e-07
148.333,5.16395e-07,6.86374e-07
151.667,4.56845e-07,6.53597e-07
155,3.78186e-07,5.67319e-07
158.333,3.57299e-07,5.68765e-07
161.667,3.19525e-07,5.01284e-07
165,2.87084e-07,5.08996e-07
168.333,2.66641e-07,4.45372e-07
171.667,2.26645e-07,4.45854e-07
175,2.11091e-07,4.01509e-07
178.333,1.99981e-07,4.01509e-07
181.667,1.88426e-07,3.37403e-07
185,1.56874e-07,3.61021e-07
188.333,1.51541e-07,3.50417e-07
191.667,1.35098e-07,3.27281e-07
195,1.3021e-07,3.14267e-07
198.333,1.19544e-07,3.12339e-07
