bin_center,SM_dsig,EFT_dsig
1.66667,0,0
5,0,0
8.33333,0,0
11.6667,1.5591e-05,1.56044e-05
15,2.03701e-05,2.05064e-05
18.3333,2.39822e-05,2.39055e-05
21.6667,2.69272e-05,2.68611e-05
25,2.79298e-05,2.84864e-05
28.3333,2.84391e-05,2.86503e-05
31.6667,2.75925e-05,2.76333e-05
35,2.62757e-05,2.64683e-05
38.3333,2.47212e-05,2.46651e-05
41.6667,2.27249e-05,2.29569e-05
45,2.07634e-05,2.09315e-05
48.3333,1.88115e-05,1.89399e-05
51.6667,1.69886e-05,1.69747e-05
55,1.51328e-05,1.5239e-05
58.3333,1.34356e-05,1.37212e-05
61.6667,1.21148e-05,1.21822e-05
65,1.06563e-05,1.08056e-05
68.3333,9.51642e-06,9.58465e-06
71.6667,8.51296e-06,8.46495e-06
75,7.46329e-06,7.59349e-06
78.3333,6.60781e-06,6.73697e-06
81.6667,5.90477e-06,5.89539e-06
85,5.35149e-06,5.33386e-06
88.3333,4.64889e-06,4.71014e-06
91.6667,4.16227e-06,4.26959e-06
95,3.68587e-06,3.77168e-06
98.3333,3.31079e-06,3.40295e-06
101.667,2.99616e-06,3.06217e-06
105,2.61042e-06,2.72862e-06
108.333,2.4291e-06,2.47654e-06
111.667,2.09047e-06,2.25144e-06
115,1.9447e-06,2.08033e-06
118.333,1.74117e-06,1.8186e-06
121.667,1.58296e-06,1.64171e-06
125,1.42475e-06,1.53422e-06
128.333,1.33054e-06,1.37275e-06
131.667,1.16789e-06,1.2696e-06
135,1.07456e-06,1.13416e-06
138.333,9.71018e-07,1.08499e-06
141.667,8.55918e-07,9.65454e-07
145,7.61261e-07,9.00865e-07
148.333,7.58594e-07,7.84221e-07
151.667,6.69714e-07,7.82774e-07
155,5.84833e-07,7.03244e-07
158.333,5.5728e-07,6.09253e-07
161.667,5.05285e-07,6.79144e-07
165,4.74621e-07,5.90937e-07
168.333,4.15516e-07,5.11888e-07
171.667,3.71964e-07,4.67062e-07
175,3.70631e-07,4.6176e-07
178.333,3.32413e-07,4.49228e-07
181.667,3.14192e-07,3.89941e-07
185,3.13303e-07,3.60057e-07
188.333,2.64864e-07,3.84639e-07
191.667,2.23979e-07,3.38849e-07
195,2.21757e-07,3.44633e-07
198.333,2.30645e-07,3.20533e-07
