FM1 Value (e-12)	Cross-section (pb) ± Uncertainty
-1000.0e-12	0.0153357
-800.0e-12	0.015120100000000001
-600.0e-12	0.0149986
-400.0e-12	0.0150053
-200.0e-12	0.015160900000000001
-100.0e-12	0.0152533
-80.0e-12	0.0152754
-60.0e-12	0.0152998
-40.0e-12	0.0153569
-20.0e-12	0.015368199999999999
-10.0e-12	0.0153943
0.0         0.0154074
10.0e-12	0.015405699999999998
20.0e-12	0.0154352
40.0e-12	0.0154603
60.0e-12	0.0154926
80.0e-12	0.0155322
100.0e-12	0.015594599999999998
200.0e-12	0.0157974
400.0e-12	0.016281200000000003
600.0e-12	0.0169386
800.0e-12	0.0176779
1000.0e-12	0.018566899999999997
