FM2 Value (e-12)	Cross-section (pb) ± Uncertainty
-1000.0e-12	0.923335
-800.0e-12	0.5985309999999999
-600.0e-12	0.344994
-400.0e-12	0.16406700000000002
-200.0e-12	0.0540938
-100.0e-12	0.025824000000000003
-80.0e-12	0.0222904
-60.0e-12	0.0194923
-40.0e-12	0.017429200000000002
-20.0e-12	0.0160545
-10.0e-12	0.0156406
0.0         0.0154074
10.0e-12	0.0153504
20.0e-12	0.0154493
40.0e-12	0.0162365
60.0e-12	0.0177412
80.0e-12	0.0199323
100.0e-12	0.0228255
200.0e-12	0.04816469999999999
400.0e-12	0.152451
600.0e-12	0.32808
800.0e-12	0.575458
1000.0e-12	0.8933350000000001
