FM2 Value (e-12)	Cross-section (pb) ± Uncertainty
-1000.0e-12	702.242
-800.0e-12	449.107
-600.0e-12	252.745
-400.0e-12	112.42
-200.0e-12	28.2007
-100.0e-12	7.1383
-80.0e-12	4.61048
-60.0e-12	2.64282
-40.0e-12	1.23819
-20.0e-12	0.39199599999999996
-10.0e-12	0.180447
-8.0e-12	0.15452200000000002
-5.0e-12	0.126554
-3.0e-12	0.1149113
-2.0e-12	0.11147820000000001
-1.0e-12	0.10936570000000001
0.0	0.10836699999999999
1.0e-12	0.1092408
2.0e-12	0.11094939999999999
3.0e-12	0.1141265
5.0e-12	0.124683
8.0e-12	0.152362
10.0e-12	0.17749700000000002
20.0e-12	0.38660300000000003
40.0e-12	1.22566
60.0e-12	2.62774
80.0e-12	4.589849999999999
100.0e-12	7.10558
200.0e-12	28.122799999999998
400.0e-12	112.40029999999999
600.0e-12	252.60000000000002
800.0e-12	448.413
1000.0e-12	702.364
